siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-01 20:00",7
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-01 21:00",1.1
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-01 21:00",0.27
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-01 21:00",52.7
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-01 21:00",5
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-01 21:00",6.5
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-01 21:00",7
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-01 22:00",1.1
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-01 22:00",0.24
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-01 22:00",55.3
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-01 22:00",6
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-01 22:00",5.9
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-01 22:00",6
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-01 23:00",0.9
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-01 23:00",0.23
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-01 23:00",54.8
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-01 23:00",7
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-01 23:00",4.8
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-01 23:00",10
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-02 00:00",1
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-02 00:00",0.23
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-02 00:00",53.5
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-02 00:00",10
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-02 00:00",5.4
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-02 00:00",8
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-02 01:00",1.3
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-02 01:00",0.21
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-02 01:00",54.2
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-02 01:00",16
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-02 01:00",5.2
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-02 01:00",8
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-02 02:00",1.3
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-02 02:00",0.2
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-02 02:00",53.8
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-02 02:00",12
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-02 02:00",4.8
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-02 02:00",13
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-02 03:00",1.3
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-02 03:00",0.19
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-02 03:00",56.8
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-02 03:00",10
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-02 03:00",3.2
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-02 03:00",9
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-02 04:00",1.5
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-02 04:00",0.19
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-02 04:00",56
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-02 04:00",6
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-02 04:00",3
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-02 04:00",9
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-02 05:00",1.6
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-02 05:00",0.21
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-02 05:00",54.5
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-02 05:00",2
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-02 05:00",4.3
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-02 05:00",6
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-02 06:00",1.6
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-02 06:00",0.23
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-02 06:00",52.9
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-02 06:00",3
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-02 06:00",6.8
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-02 06:00",7
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-02 07:00",1.6
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-02 07:00",0.35
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-02 07:00",41.3
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-02 07:00",11
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-02 07:00",16.5
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-02 07:00",10
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-02 08:00",1.5
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-02 08:00",0.4
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-02 08:00",36.6
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-02 08:00",11
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-02 08:00",24.7
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-02 08:00",12
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-02 09:00",1.6
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-02 09:00",0.37
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-02 09:00",33.7
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-02 09:00",17
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-02 09:00",28.1
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-02 09:00",16
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-02 10:00",2.2
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-02 10:00",0.34
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-02 10:00",27.2
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-02 10:00",22
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-02 10:00",31.5
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-02 10:00",18
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-02 11:00",2.1
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-02 11:00",0.31
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-02 11:00",33.2
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-02 11:00",21
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-02 11:00",26.7
