date,pm2.5,so2,no2,co,o3,pm10
2025/05/05,14.6,0.1,10.1,0.3,35.3,31.7
2025/05/06,17.1,0.7,10.0,0.3,31.5,30.6
2025/05/07,15.7,0.5,9.9,0.2,47.7,27.4
2025/05/08,14.3,0.7,6.8,0.2,46.2,31.5
2025/05/09,12.9,0.8,14.7,0.3,26.2,24.4
2025/05/10,8.6,0.4,9.5,0.2,30.1,20.2
2025/05/11,7.5,0.5,6.2,0.2,52.6,12.8
2025/05/12,12.4,1.3,6.9,0.2,56.7,22.6
2025/05/13,11.4,0.4,10.2,0.2,49.7,18.2
2025/05/14,8.0,0.7,6.9,0.2,38.9,15.2
2025/05/15,7.0,1.3,8.2,0.2,36.9,13.8
2025/05/16,9.8,1.3,10.7,0.2,40.5,18.6
2025/05/17,12.0,0.5,11.4,0.2,24.2,23.0
2025/05/18,8.9,0.1,8.2,0.2,21.4,15.5
2025/05/19,8.0,0.5,11.0,0.2,15.3,18.2
2025/05/20,13.3,0.9,11.2,0.2,26.3,26.7
2025/05/21,12.9,0.8,11.7,0.3,21.5,26.1
2025/05/22,12.9,0.7,11.2,0.2,26.4,24.6
2025/05/23,12.9,0.4,10.5,0.2,26.1,26.6
2025/05/24,8.2,0.5,7.4,0.2,28.7,13.5
2025/05/25,20.8,0.8,5.2,0.2,54.7,26.9
2025/05/26,11.7,0.9,12.8,0.2,46.0,16.0
2025/05/27,7.4,0.5,9.1,0.2,43.8,11.5
2025/05/28,7.3,0.8,12.0,0.2,29.4,10.9
2025/05/29,5.7,0.3,13.0,0.3,30.0,9.7
2025/05/30,13.0,0.9,6.2,0.1,48.5,22.5
2025/05/31,17.2,1.2,4.4,0.2,52.5,27.4
2025/06/01,15.3,1.2,10.3,0.3,41.8,23.5
2025/06/02,9.3,0.0,7.6,0.2,25.3,17.8
2025/06/03,7.6,0.4,9.8,0.2,25.2,14.6
2025/06/04,9.1,0.3,8.7,0.2,39.5,13.2
2025/06/05,11.0,0.5,13.8,0.2,30.8,19.3
2025/06/06,10.5,0.3,17.9,0.3,23.2,19.4
2025/06/07,12.9,0.7,12.5,0.3,23.1,23.7
2025/06/08,13.7,1.9,10.0,0.3,22.5,24.5
2025/06/09,10.2,0.6,10.6,0.3,17.3,19.6
2025/06/10,7.1,0.3,7.6,0.2,18.7,18.1
2025/06/11,5.0,0.2,4.3,0.1,12.1,14.0
2025/06/12,1.0,0.3,5.6,0.1,10.8,5.5
2025/06/13,5.7,0.6,11.3,0.2,11.9,14.4
2025/06/14,7.2,0.7,8.6,0.2,21.5,18.5
2025/06/15,11.3,1.3,8.2,0.2,34.8,22.7
2025/06/16,8.7,0.9,6.9,0.1,22.3,20.5
2025/06/17,6.3,0.4,7.6,0.1,15.0,14.9
2025/06/18,6.6,0.4,9.6,0.2,19.8,18.6
2025/06/19,6.7,0.7,6.7,0.1,16.8,16.1
2025/06/20,7.6,0.9,9.8,0.2,24.7,17.6
2025/06/21,10.7,0.7,9.1,0.2,21.9,27.6
2025/06/22,9.0,0.4,6.0,0.1,22.0,21.0
2025/06/23,13.1,0.9,12.1,0.2,29.7,30.2
2025/06/24,12.9,0.5,9.4,0.2,37.6,24.7
2025/06/25,14.0,0.7,11.1,0.2,34.5,25.2
2025/06/26,10.1,0.8,8.5,0.2,26.0,20.1
